ublaz;24;m;4;2.5;2.5;2.5;4;4.mp4;vlong;STILL;0.22;39.112;cellular;65;13;OTHER;true;true;2
ublaz;24;m;4;2.5;2.5;2.5;4;6.mp4;vshort;STILL;0.22;5.06;cellular;65;13;OTHER;true;true;1
ublaz;24;m;4;2.5;2.5;2.5;4;2.mp4;vshort;STILL;0.22;11.501;cellular;65;13;OTHER;false;false;1
ublaz;24;m;4;2.5;2.5;2.5;4;4.mp4;vshort;ON_FOOT;0.54;12.004;wifi;81;21;OTHER;true;true;0
ublaz;24;m;4;2.5;2.5;2.5;4;2.mp4;vshort;STILL;0.53;11.502;wifi;81;21;OTHER;true;true;0
ublaz;24;m;4;2.5;2.5;2.5;4;23.mp4;vshort;STILL;0.53;15.005;wifi;81;21;OTHER;true;true;-2
ublaz;24;m;4;2.5;2.5;2.5;4;6.mp4;vlong;STILL;0.53;1.864;wifi;81;21;OTHER;false;false;-2
ublaz;24;m;4;2.5;2.5;2.5;4;6.mp4;vshort;STILL;0.53;6.002;wifi;81;21;OTHER;true;true;0
ublaz;24;m;4;2.5;2.5;2.5;4;2.mp4;vshort;ON_FOOT;0.53;9.83;wifi;81;21;OTHER;true;true;-1
ublaz;24;m;4;2.5;2.5;2.5;4;11.mp4;vlong;STILL;0.53;3.059;wifi;81;21;OTHER;false;false;0
ublaz;24;m;4;2.5;2.5;2.5;4;2.jpg;image;STILL;0.53;30.797;wifi;81;21;OTHER;true;true;1
ublaz;24;m;4;2.5;2.5;2.5;4;11.mp4;vshort;STILL;0.38;16.503;wifi;33;11;OTHER;true;true;1
ublaz;24;m;4;2.5;2.5;2.5;4;22.jpg;image;STILL;0.37;25.109;wifi;33;11;OTHER;true;true;2
ublaz;24;m;4;2.5;2.5;2.5;4;2.jpg;image;STILL;0.78;15.819;cellular;14;11;OTHER;true;true;-1
ublaz;24;m;4;2.5;2.5;2.5;4;22.mp4;vlong;STILL;0.78;49.568;cellular;14;11;OTHER;true;true;2
ublaz;24;m;4;2.5;2.5;2.5;4;4.jpg;image;STILL;0.78;29.569;cellular;14;11;OTHER;true;true;2
ublaz;24;m;4;2.5;2.5;2.5;4;20.mp4;vlong;STILL;0.38;28.279;cellular;51;15;OTHER;true;true;-1
ublaz;24;m;4;2.5;2.5;2.5;4;11.mp4;vlong;STILL;0.38;18.03;cellular;51;15;OTHER;false;false;-2
ublaz;24;m;4;2.5;2.5;2.5;4;16.mp4;vshort;STILL;0.38;14.258;cellular;51;15;OTHER;true;true;-1
ublaz;24;m;4;2.5;2.5;2.5;4;16.mp4;vshort;STILL;0.38;8.896;cellular;51;15;OTHER;true;true;-2
ublaz;24;m;4;2.5;2.5;2.5;4;13.mp4;vshort;STILL;0.38;13.977;cellular;51;15;OTHER;false;false;-2
ublaz;24;m;4;2.5;2.5;2.5;4;16.mp4;vshort;STILL;0.79;14.843;cellular;39;22;OTHER;false;false;-1
ublaz;24;m;4;2.5;2.5;2.5;4;16.jpg;image;STILL;0.79;14.866;cellular;39;22;OTHER;true;true;1
urok;24;m;1;6;3.5;6.5;1.5;13.mp4;vlong;STILL;0.53;32.003;cellular;52;21;OTHER;true;true;2
urok;24;m;1;6;3.5;6.5;1.5;24.jpg;image;ON_FOOT;0.53;24.062;wifi;52;21;OTHER;true;true;0
urok;24;m;1;6;3.5;6.5;1.5;4.jpg;image;STILL;0.96;14.224;wifi;64;0;OTHER;true;true;2
urok;24;m;1;6;3.5;6.5;1.5;2.jpg;image;STILL;0.8500000000000001;40.76;cellular;64;9;OTHER;true;true;2
urok;24;m;1;6;3.5;6.5;1.5;10.jpg;image;STILL;0.66;11.71;wifi;132;12;OTHER;true;true;0
urok;24;m;1;6;3.5;6.5;1.5;14.jpg;image;STILL;0.5;20.924;wifi;57;15;OTHER;true;true;1
urok;24;m;1;6;3.5;6.5;1.5;9.mp4;vlong;STILL;0.5;14.741;wifi;57;15;OTHER;true;true;1
urok;24;m;1;6;3.5;6.5;1.5;12.jpg;image;ON_FOOT;0.38;11.18;wifi;34;18;OTHER;true;true;0
urok;24;m;1;6;3.5;6.5;1.5;18.mp4;vlong;ON_FOOT;0.38;12.447;wifi;34;18;OTHER;false;false;-2
